ID,Kata,SukuKata,Sampa,SukuSampa
1,aku,a-ku,VkU,V-k.U
2,yang,yang,jVN,j.V.N
3,tidak,ti-dak,tIdVk,t.I-d.V.k
4,kau,kau,kaU,k.aU
5,dan,dan,dVn,d.V.n
6,di,di,dI,d.I
7,ini,i-ni,InI,I-n.I
8,itu,i-tu,ItU,I-t.U
9,akan,a-kan,VkVn,V-k.V.n
10,dia,dia,dIV,d.I-V
11,apa,a-pa,VpV,V-p.V
12,anda,an-da,VndV,V.n-d.V
13,untuk,un-tuk,UntUk,U.n-t.U.k
14,kita,ki-ta,kItV,k.I-t.V
15,saya,sa-ya,sVjV,s.V-j.V
16,dengan,de-ngan,deNVn,d.e-N.V.n
17,mereka,me-re-ka,m@rekV,m.@-r.e-k.V
18,dari,da-ri,dVrI,d.V-r.I
19,ada,a-da,VdV,V-d.V
20,bisa,bi-sa,bIsV,b.I-s.V
21,tahu,ta-hu,tVhU,t.V-h.U
22,tak,tak,tVk,t.V.k
23,kamu,ka-mu,kVmU,k.V-m.U
24,ke,ke,k@,k.@
25,kami,ka-mi,kVmI,k.V-m.I
26,dalam,da-lam,dVlVm,d.V-l.V.m
27,adalah,a-da-lah,VdVlVh,V-d.V-l.V.h
28,orang,o-rang,QrVN,Q-r.V.N
29,harus,ha-rus,hVrUs,h.V-r.U.s
30,ya,ya,jV,j.V
31,tapi,ta-pi,tVpI,t.V-p.I
32,sudah,su-dah,sUdVh,s.U-d.V.h
33,pada,pa-da,pVdV,p.V-d.V
34,baik,ba-ik,baIk,b.aI.k
35,seperti,se-per-ti,s@pertI,s.@-p.e.r-t.I
36,pergi,per-gi,pergI,p.e.r-g.I
37,hanya,ha-nya,hVnYV,h.V-n.Y.V
38,saja,sa-ja,sVdZV,s.V-dZ.V
39,sini,si-ni,sInI,s.I-n.I
40,ingin,i-ngin,INIn,I-N.I.n
41,semua,se-mua,s@mUV,s.@-m.U-V
42,sekarang,se-ka-rang,s@kVrVN,s.@-k.V-r.V.N
43,jika,ji-ka,dZIkV,dZ.I-k.V
44,lebih,le-bih,lebIh,l.e-b.I.h
45,satu,sa-tu,sVtU,s.V-t.U
46,oh,oh,Qh,Q.h
47,jadi,ja-di,dZVdI,dZ.V-d.I
48,apakah,a-pa-kah,VpVkVh,V-p.V-k.V.h
49,bukan,bu-kan,bUkVn,b.U-k.V.n
50,telah,te-lah,t@lVh,t.@-l.V.h
51,punya,pu-nya,pUnYV,p.U-nY.V
52,karena,ka-re-na,kVrenV,k.V-r.e-n.V
53,jangan,ja-ngan,dZVNVn,dZ.V-N.V.n
54,lagi,la-gi,lVgI,l.V-g.I
55,juga,ju-ga,dZUgV,dZ.U-g.V
56,benar,be-nar,b@nVr,b.@-n.V.r
57,hal,hal,hVl,h.V.l
58,mungkin,mung-kin,mUNkIn,m.U.N-k.I.n
